1,1,Romance Dawn - The Dawn of the Adventure,Romansu Don - Boken no Yoake,53
2,1,"That Guy- ""Straw Hat Luffy""","Sono Otoko ""Mugiwara no Rufi""",23
3,1,Introducing Pirate Hunter Zoro,"""Kaizoku-gari no Zoro"" Tojo",21
4,1,"Marine Captain ""Axe-Hand Morgan""","Kaigun Taisa ""Onote no Mogan""",19
5,1,Pirate King and Master Swordsman,Kaizoku-O to Daikengo,19
6,1,The First,Hitorime,23
7,1,Friends,Tomodachi,20
8,1,Introducing Nami,Nami Tojo,19
9,2,The Devil Girl,Masho no Onna,21
10,2,Incident at the Tavern,Sakaba no Ikken,23
11,2,Flight,Haiso,19
12,2,Dog,Inu,19
13,2,Treasure,Takaramono,19
14,2,Reckless!!,Mubo!!,19
15,2,Gong,Gongu,19
16,2,Versus The Buggy Pirate Crew,Basasu!! Bagi Kaizokudan,17
17,2,Character,Kaku,20
18,3,The Pirate Buggy the Clown,"Kaizoku ""Doke no Bagi""",19
19,3,Devil Fruit,Akuma no Mi,19
20,3,The Way of the Thief,Dorobodo,19
21,3,Town,Machi,19
22,3,You're the Rare Breed,Anta ga Chinju,29
23,3,Captain Usopp Appears,Kyaputen Usoppu Tojo,19
24,3,Things That Can't Be Faked,Itsuwarenu Mono,19
25,3,800 Lies,Uso 800,19
26,3,Captain Kuro's Plan,Kyaputen Kuro no Ikkei,19
27,4,Plan,Suji,21
28,4,Crescent Moon,Mikazuki,19
29,4,Hill Road,Sakamichi,21
30,4,Great!!!,Gureito!!!,19
31,4,Truth,Shinjitsu,19
32,4,Disaster,Daikyo,19
33,4,The Silent Man,Otonaki Otoko,19
34,4,Klahadore the Butler,Shitsuji Kurahadoru,19
35,4,Neo Hill Road,Neo Sakamichi,19
36,5,After Them!!,Oe!!,21
37,5,"The Pirate ""Kuro of a Hundred Plans""","Kaizoku ""Hyakkei no Kuro""",19
38,5,Pirate Crew,Kaizokudan,20
39,5,For Whom the Bell Tolls,Taga Tame ni Kane wa Naru,19
40,5,The Usopp Pirates,Usoppu Kaizokudan,19
41,5,To the Sea,Umi-e,18
42,5,Yosaku and Johnny,Yosaku to Joni,19
43,5,Introducing Sanji,Sanji Tojo,19
44,5,Three Cooks,Sannin no Kokku,20
45,6,Before the Storm,Arashi Mae,18
46,6,An Uninvited Guest,Manekarezaru Kyaku,19
47,6,"Pirate Fleet Admiral ""Don Krieg""","Kaizoku Kantai Teitoku ""Don Kuriku""",19
48,6,Leave That Path Alone,Sono Koro- Yametoki na,19
49,6,Storm,Arashi,18
50,6,A Parting of Ways,Onoono ga Michi,19
51,6,Roronoa Zoro Falls Into the Sea,Roronoa Zoro Umi ni Chiru,19
52,6,The Oath,Chikai,20
53,6,Sabagashira No. 1,Sabagashira Ichi-Go,19
54,7,Pearl-san,Paru-san,19
55,7,Jungle Blood,Janguru Buraddo,19
56,7,I Refuse,Ya na Kotta,20
57,7,If You Have a Dream,Yumearu ga Yue,19
58,7,Crap-Geezer,Kuso Jiji,19
59,7,Obligation,On,19
60,7,Propriety,Kejime,19
61,7,The Demon,Oni,20
62,7,MH5,Emu-Eichi-Fuaibu,19
63,8,I Won't Die,Shinane yo,19
64,8,The Mighty Battle Spear,Daisenso,17
65,8,Prepared,Kakugo,19
66,8,The Chewed-up Spear,Kami Koroshita Yari,19
67,8,Soup,Supu,19
68,8,The Fourth,Yoninme,19
69,8,Arlong Park,Aron Paku,20
70,8,The Great Adventure of Usopp the Man,Otoko Usoppu Daiboken,21
71,8,Lords of All Creation,Banbutsu no Reicho,19
72,9,Appropriate,Bunsoo,19
73,9,Monsters of the Grand Line,"""Gurando Rain"" Kara Kita Kaibutsu",19
74,9,Business,Bijinesu,19
75,9,Of Sea Maps and Fish-Men,Kaizu to Gyojin,19
76,9,Sleep,Neru,19
77,9,The First Step Toward a Dream,Yume no Ippo,19
78,9,Bell-mere-san,Berumeru-san,19
79,9,To Live,Ikiru,19
80,9,A Crime is a Crime,Tsumi wa Tsumi,19
81,9,Tears,Namida,19
82,10,OK- Let's STAND UP!,Oke- Rettsu- Sutan Dappu!,19
83,10,Luffy in Black,Rufi In Burakku,19
84,10,Zombie,Zonbi,19
85,10,Three Sword Style vs. Six Sword Style,Santoryu tai Rokutoryu,19
86,10,Chivalry vs. Fish-Man Karate,Kishido Basasu Gyojin Karate,20
87,10,It's All Over!!,Owattanda!!,19
88,10,Die!!!,Shinde!!!,19
89,10,Trade-Off,Kotai,19
90,10,What Can You Do?,Nani ga Dekiru,19
91,11,DARTS,Datsu,19
92,11,Happiness,Shiawase,19
93,11,Going Down,Shita e Mairimasu,19
94,11,The Second,Futarime,17
95,11,Spin- Pinwheel,Maware Kazaguruma,19
96,11,Greatest Evil of the East,Higashi Ichiban no Waru,19
97,11,Sandai Kitetsu,Sandai Kitetsu,19
98,11,Dark Clouds,An'un,19
99,11,Luffy Died,Rufi ga Shinda,19
100,12,The Legend Has Begun,Densetsu wa Hajimatta,24
101,12,Reverse Mountain,Rivasu Maunten,19
102,12,Now- The Grand Line,Sate- Gurando Rain,19
103,12,The Whale,Kujira,20
104,12,Cape Promise,Yakusoku no Misaki,19
105,12,Log Pose,Rogu Posu,19
106,12,The Town of Welcome,Kangei no Machi,19
107,12,Moonlight and Tombstones,Gekko to Bohyo,18
108,12,100 Bounty Hunters,Hyakunin no Shokin Kasegi,19
109,13,Responsibility Problem,Sekinin Mondai,19
110,13,The Night Isn't Over,Yoru wa Owaranai,19
111,13,The Secret Criminal Organization,Himitsu Hanzai Gaisha,18
112,13,Luffy vs. Zoro,Rufi Basasu Zoro,19
113,13,It's All Right!!!,Daijobu!!!,19
114,13,The Course,Shinro,19
115,13,Little Garden of Adventure,Boken no Ritoru Gaden,19
116,13,Big,Dekke,19
117,13,Dorry and Brogy,Dori to Burogi,19
118,14,Someone's Out There,Dareka Iru,19
119,14,Makeshift,Kosoku,19
120,14,The Red Ogre Weeps,Akaoni ga Naita,19
121,14,I Knew,Wakatteita,19
122,14,A Dead Body is Useless,Shinin wa Yaku ni Tatanu,19
123,14,Luffy vs. Mr. 3,Rufi Basasu Misuta Suri,19
124,14,The Tea is Good,Ocha ga Ume,19
125,14,Candle Champion,Kyandoru Chanpion,19
126,14,Instinct,Honno,19
127,15,Den Den Mushi,Dendenmushi,19
128,15,Pride (Pirate Flag),Hokori,20
129,15,Straight Ahead!!!,Massugu!!!,21
130,15,Maximum Speed,Saiko Sokudo,19
131,15,Tin Plate Wapol,Buriki no Waporu,19
